100
1 0  0
1.00634 0.010101  0
1.01266 0.020202  0
1.01893 0.030303  0
1.02511 0.040404  0
1.0312 0.0505051  0
1.03717 0.0606061  0
1.04298 0.0707071  0
1.04862 0.0808081  0
1.05406 0.0909091  0
1.05929 0.10101  0
1.06428 0.111111  0
1.06901 0.121212  0
1.07346 0.131313  0
1.07761 0.141414  0
1.08146 0.151515  0
1.08497 0.161616  0
1.08815 0.171717  0
1.09096 0.181818  0
1.09341 0.191919  0
1.09549 0.20202  0
1.09718 0.212121  0
1.09848 0.222222  0
1.09938 0.232323  0
1.09989 0.242424  0
1.09999 0.252525  0
1.09969 0.262626  0
1.09898 0.272727  0
1.09788 0.282828  0
1.09638 0.292929  0
1.0945 0.30303  0
1.09224 0.313131  0
1.0896 0.323232  0
1.0866 0.333333  0
1.08326 0.343434  0
1.07958 0.353535  0
1.07557 0.363636  0
1.07127 0.373737  0
1.06668 0.383838  0
1.06182 0.393939  0
1.05671 0.40404  0
1.05137 0.414141  0
1.04582 0.424242  0
1.04009 0.434343  0
1.0342 0.444444  0
1.02817 0.454545  0
1.02203 0.464646  0
1.0158 0.474747  0
1.00951 0.484848  0
1.00317 0.494949  0
0.996827 0.505051  0
0.990494 0.515152  0
0.9842 0.525253  0
0.977969 0.535354  0
0.971827 0.545455  0
0.965798 0.555556  0
0.959907 0.565657  0
0.954177 0.575758  0
0.948632 0.585859  0
0.943294 0.59596  0
0.938184 0.606061  0
0.933323 0.616162  0
0.928731 0.626263  0
0.924425 0.636364  0
0.920424 0.646465  0
0.916743 0.656566  0
0.913397 0.666667  0
0.910401 0.676768  0
0.907765 0.686869  0
0.9055 0.69697  0
0.903616 0.707071  0
0.90212 0.717172  0
0.901018 0.727273  0
0.900315 0.737374  0
0.900013 0.747475  0
0.900113 0.757576  0
0.900616 0.767677  0
0.901519 0.777778  0
0.902819 0.787879  0
0.90451 0.79798  0
0.906585 0.808081  0
0.909037 0.818182  0
0.911855 0.828283  0
0.915027 0.838384  0
0.918542 0.848485  0
0.922385 0.858586  0
0.926541 0.868687  0
0.930992 0.878788  0
0.935721 0.888889  0
0.940709 0.89899  0
0.945936 0.909091  0
0.95138 0.919192  0
0.957021 0.929293  0
0.962834 0.939394  0
0.968797 0.949495  0
0.974885 0.959596  0
0.981075 0.969697  0
0.987341 0.979798  0
0.993658 0.989899  0
1 1  0
